Fecha;Código Postal;Tipo de Comercio;Transacciones;Importe Medio
20150101;48004;es_parking;8;924
20150101;48004;es_pharmacy;3;154
20150101;48004;es_taxi;2;198
20150101;48004;es_gas;2;5298
20150101;48004;es_fastfood;2;2925
20150101;48004;es_hotel;1;126
20150101;48005;es_hotel;7;5989
20150101;48005;es_pharmacy;4;1219
20150101;48005;es_restaurant;2;504
20150101;48008;es_pharmacy;10;3427
20150101;48008;es_pub;6;60
20150101;48008;es_restaurant;5;6091
20150101;48008;es_parking;4;1489
20150101;48008;es_bet;3;1054
20150101;48008;es_hotel;1;50445
20150101;48008;es_atm;1;10
20150101;48009;es_hypermarket;18;2128
20150101;48009;es_restaurant;17;8051
20150101;48009;es_parking;9;1058
20150101;48009;es_fastfood;9;1567
20150101;48009;es_beauty;6;1275
20150101;48009;es_tax;2;5908
20150101;48009;es_hotel;2;46902
20150101;48009;es_leisuretime;2;435
20150101;48009;es_pub;1;105
20150101;48009;es_foodsme;1;3492
20150101;48013;es_parking;9;782
20150101;48013;es_gas;9;3842
20150101;48013;es_hotel;6;10925
20150101;48013;es_cafe;5;94
20150101;48013;es_bus;4;7355
20150101;48013;es_fastfood;2;245
20150101;48013;es_veterinarian;1;3094
20150101;48013;es_restaurant;1;12392
20150102;48001;es_urbantransport;715;1678
20150102;48001;es_toll;674;1415
20150102;48001;es_sportbig;154;5591
20150102;48001;es_restaurant;53;6942
20150102;48001;es_parking;47;65
20150102;48001;es_fashionbig;39;5609
20150102;48001;es_books;32;4465
20150102;48001;es_fashionsme;30;5904
20150102;48001;es_drugstoresme;23;5933
20150102;48001;es_beauty;23;9007
20150102;48001;es_sportandtoys;20;5849
20150102;48001;es_foodsme;20;8716
20150102;48001;es_pharmacy;13;3793
20150102;48001;es_homesme;11;6879
20150102;48001;es_shoe;10;7931
20150102;48001;es_telephony;9;7383
20150102;48001;es_jewelry;8;21356
20150102;48001;es_hotel;8;8331
20150102;48001;es_supermarket;7;2324
20150102;48001;es_fastfood;7;3498
20150102;48001;es_hospital;5;96
20150102;48001;es_diysme;5;4847
20150102;48001;es_leather;5;2971
20150102;48001;es_sport;4;5625
20150102;48001;es_photo;4;1235
20150102;48001;es_techsme;4;18246
20150102;48001;es_cafe;4;286
20150102;48001;es_leisuretime;3;2529
20150102;48001;es_tobacconists;3;6967
20150102;48001;es_goods;3;939
20150102;48001;es_floristssme;1;60
20150102;48001;es_tax;1;112
20150102;48001;es_education;1;30
20150102;48002;es_hypermarket;15;2021
20150102;48002;es_supermarket;13;4437
20150102;48002;es_pharmacy;5;2013
20150102;48002;es_fashionsme;4;4463
20150102;48002;es_beauty;3;4308
20150102;48002;es_techsme;2;344
20150102;48002;es_leisuretime;1;88
20150102;48002;es_foodsme;1;1546
20150102;48002;es_drugstoresme;1;7792
20150102;48002;es_restaurant;1;5016
20150102;48002;es_taxi;1;26
20150102;48002;es_books;1;524
20150102;48003;es_hypermarket;81;3838
20150102;48003;es_gas;28;3764
20150102;48003;es_foodsme;10;1673
20150102;48003;es_parking;9;672
20150102;48003;es_supermarket;9;186
20150102;48003;es_restaurant;7;7649
20150102;48003;es_pharmacy;7;3129
20150102;48003;es_drugstoresme;6;3348
20150102;48003;es_fashionbig;5;332
20150102;48003;es_veterinarian;5;3514
20150102;48003;es_beauty;5;6212
20150102;48003;es_car;4;13729
20150102;48003;es_fashionsme;4;4116
20150102;48003;es_books;3;323
20150102;48003;es_goods;2;1033
20150102;48003;es_sportandtoys;2;2396
20150102;48003;es_diysme;2;3615
20150102;48003;es_hotel;1;62
20150102;48003;es_others;1;1573
20150102;48003;es_jewelry;1;79
20150102;48003;es_photo;1;75
20150102;48003;es_cafe;1;158
20150102;48003;es_homesme;1;70
20150102;48004;es_hypermarket;83;2954
20150102;48004;es_supermarket;31;315
20150102;48004;es_fashionsme;23;7432
20150102;48004;es_pharmacy;15;4216
20150102;48004;es_beauty;13;5498
20150102;48004;es_shoe;13;5436
20150102;48004;es_foodsme;12;3811
20150102;48004;es_sportandtoys;10;275
20150102;48004;es_drugstoresme;9;3296
20150102;48004;es_goods;6;8472
20150102;48004;es_parking;5;1162
20150102;48004;es_jewelry;5;14916
20150102;48004;es_gas;5;412
20150102;48004;es_photo;4;8925
20150102;48004;es_homesme;4;17243
20150102;48004;es_diysme;3;4057
20150102;48004;es_car;3;18494
20150102;48004;es_drugstorebig;3;7495
20150102;48004;es_telephony;3;68
20150102;48004;es_restaurant;2;2135
20150102;48004;es_hotel;2;13484
20150102;48004;es_hospital;2;2723
20150102;48004;es_techsme;2;8095
20150102;48004;es_cafe;2;2695
20150102;48004;es_books;1;57
20150102;48004;es_veterinarian;1;837
20150102;48004;es_tobacconists;1;485
20150102;48004;es_musicalinstrument;1;290
20150102;48004;es_bet;1;30
20150102;48004;es_fastfood;1;1095
20150102;48004;es_travelagency;1;599
20150102;48004;es_atm;1;5
20150102;48005;es_fashionsme;143;5419
20150102;48005;es_fashionbig;89;4092
20150102;48005;es_goods;41;4778
20150102;48005;es_shoe;24;9608
20150102;48005;es_sportandtoys;23;3509
20150102;48005;es_drugstoresme;23;4413
20150102;48005;es_books;21;3862
20150102;48005;es_sportbig;21;5458
20150102;48005;es_restaurant;18;3995
20150102;48005;es_foodsme;16;3057
20150102;48005;es_leather;14;2503
20150102;48005;es_hotel;10;10392
20150102;48005;es_pharmacy;10;2565
20150102;48005;es_hypermarket;6;1228
20150102;48005;es_fastfood;6;7729
20150102;48005;es_cafe;6;393
20150102;48005;es_photo;6;8554
20150102;48005;es_leisuretime;5;5847
20150102;48005;es_diysme;5;2889
20150102;48005;es_beauty;4;9196
20150102;48005;es_veterinarian;3;3647
20150102;48005;es_bet;3;5333
20150102;48005;es_homesme;3;5383
20150102;48005;es_travelagency;2;3115
20150102;48005;es_techsme;2;133
20150102;48005;es_jewelry;2;3388
20150102;48005;es_telephony;1;1399
20150102;48005;es_floristssme;1;175
20150102;48005;es_musicalinstrument;1;3807
20150102;48005;es_donation;1;1543
